"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"NLD","FDISTOCK","INWARD","PC_GDP","A","2016",101.70163235524,
"NLD","FDISTOCK","OUTWARD","PC_GDP","A","2012",120.80588172428,
"NLD","FDISTOCK","OUTWARD","PC_GDP","A","2013",132.35727756888,
"NLD","FDISTOCK","OUTWARD","PC_GDP","A","2014",118.83873367393,
"NLD","FDISTOCK","OUTWARD","PC_GDP","A","2015",149.50619205337,
"NLD","FDISTOCK","OUTWARD","PC_GDP","A","2016",164.33037459149,
"NZL","FDISTOCK","INWARD","PC_GDP","A","2012",40.714300445054,
"NZL","FDISTOCK","INWARD","PC_GDP","A","2013",39.628141676022,
"NZL","FDISTOCK","INWARD","PC_GDP","A","2014",38.221340161995,
"NZL","FDISTOCK","INWARD","PC_GDP","A","2015",38.070153232757,
"NZL","FDISTOCK","INWARD","PC_GDP","A","2016",39.260973428573,
"NZL","FDISTOCK","OUTWARD","PC_GDP","A","2012",10.85723989662,
"NZL","FDISTOCK","OUTWARD","PC_GDP","A","2013",9.6498076661383,
"NZL","FDISTOCK","OUTWARD","PC_GDP","A","2014",8.9665927574081,
"NZL","FDISTOCK","OUTWARD","PC_GDP","A","2015",10.27238461459,
"NZL","FDISTOCK","OUTWARD","PC_GDP","A","2016",9.5867063174588,
"NOR","FDISTOCK","INWARD","PC_GDP","A","2013",36.506441077408,
"NOR","FDISTOCK","INWARD","PC_GDP","A","2014",34.74081722391,
"NOR","FDISTOCK","INWARD","PC_GDP","A","2015",36.642264109968,
"NOR","FDISTOCK","OUTWARD","PC_GDP","A","2013",34.765700304096,
"NOR","FDISTOCK","OUTWARD","PC_GDP","A","2014",32.513529442461,
"NOR","FDISTOCK","OUTWARD","PC_GDP","A","2015",42.513765690812,
"POL","FDISTOCK","INWARD","PC_GDP","A","2012",39.763282315194,
"POL","FDISTOCK","INWARD","PC_GDP","A","2013",43.716208063817,
"POL","FDISTOCK","INWARD","PC_GDP","A","2014",38.879323292543,
"POL","FDISTOCK","INWARD","PC_GDP","A","2015",38.541605458755,
"POL","FDISTOCK","INWARD","PC_GDP","A","2016",39.899690448606,
"POL","FDISTOCK","OUTWARD","PC_GDP","A","2012",5.2168296810159,
"POL","FDISTOCK","OUTWARD","PC_GDP","A","2013",5.2888625044543,
"POL","FDISTOCK","OUTWARD","PC_GDP","A","2014",3.9982606834096,
