"SUBJECT","Subject","LOCATION","Country","MEASURE","Measure","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"CPALTT01","Consumer prices - all items","RUS","Russia","IXOB","Index","M","Monthly","2014-04","Apr-2014","IDX","Index","0","Units","2010_100","2010=100",128.8936,,
"CPALTT01","Consumer prices - all items","RUS","Russia","IXOB","Index","M","Monthly","2014-05","May-2014","IDX","Index","0","Units","2010_100","2010=100",130.0536,,
"CPALTT01","Consumer prices - all items","RUS","Russia","IXOB","Index","M","Monthly","2014-06","Jun-2014","IDX","Index","0","Units","2010_100","2010=100",130.86,,
"CPALTT01","Consumer prices - all items","RUS","Russia","IXOB","Index","M","Monthly","2014-07","Jul-2014","IDX","Index","0","Units","2010_100","2010=100",131.5012,,
"CPALTT01","Consumer prices - all items","RUS","Russia","IXOB","Index","M","Monthly","2014-08","Aug-2014","IDX","Index","0","Units","2010_100","2010=100",131.8168,,
"CPALTT01","Consumer prices - all items","RUS","Russia","IXOB","Index","M","Monthly","2014-09","Sep-2014","IDX","Index","0","Units","2010_100","2010=100",132.6736,,
"CPALTT01","Consumer prices - all items","RUS","Russia","IXOB","Index","M","Monthly","2014-10","Oct-2014","IDX","Index","0","Units","2010_100","2010=100",133.7615,,
"CPALTT01","Consumer prices - all items","RUS","Russia","IXOB","Index","M","Monthly","2014-11","Nov-2014","IDX","Index","0","Units","2010_100","2010=100",135.4737,,
"CPALTT01","Consumer prices - all items","RUS","Russia","IXOB","Index","M","Monthly","2014-12","Dec-2014","IDX","Index","0","Units","2010_100","2010=100",139.0231,,
"CPALTT01","Consumer prices - all items","RUS","Russia","IXOB","Index","M","Monthly","2015-01","Jan-2015","IDX","Index","0","Units","2010_100","2010=100",144.3755,,
"CPALTT01","Consumer prices - all items","RUS","Russia","IXOB","Index","M","Monthly","2015-02","Feb-2015","IDX","Index","0","Units","2010_100","2010=100",147.5806,,
"CPALTT01","Consumer prices - all items","RUS","Russia","IXOB","Index","M","Monthly","2015-03","Mar-2015","IDX","Index","0","Units","2010_100","2010=100",149.3663,,
"CPALTT01","Consumer prices - all items","RUS","Russia","IXOB","Index","M","Monthly","2015-04","Apr-2015","IDX","Index","0","Units","2010_100","2010=100",150.0534,,
"CPALTT01","Consumer prices - all items","RUS","Russia","IXOB","Index","M","Monthly","2015-05","May-2015","IDX","Index","0","Units","2010_100","2010=100",150.5786,,
"CPALTT01","Consumer prices - all items","RUS","Russia","IXOB","Index","M","Monthly","2015-06","Jun-2015","IDX","Index","0","Units","2010_100","2010=100",150.8647,,
"CPALTT01","Consumer prices - all items","RUS","Russia","IXOB","Index","M","Monthly","2015-07","Jul-2015","IDX","Index","0","Units","2010_100","2010=100",152.0716,,
"CPALTT01","Consumer prices - all items","RUS","Russia","IXOB","Index","M","Monthly","2015-08","Aug-2015","IDX","Index","0","Units","2010_100","2010=100",152.6039,,
"CPALTT01","Consumer prices - all items","RUS","Russia","IXOB","Index","M","Monthly","2015-09","Sep-2015","IDX","Index","0","Units","2010_100","2010=100",153.4737,,
"CPALTT01","Consumer prices - all items","RUS","Russia","IXOB","Index","M","Monthly","2015-10","Oct-2015","IDX","Index","0","Units","2010_100","2010=100",154.6094,,
"CPALTT01","Consumer prices - all items","RUS","Russia","IXOB","Index","M","Monthly","2015-11","Nov-2015","IDX","Index","0","Units","2010_100","2010=100",155.769,,
"CPALTT01","Consumer prices - all items","RUS","Russia","IXOB","Index","M","Monthly","2015-12","Dec-2015","IDX","Index","0","Units","2010_100","2010=100",156.9684,,
"CPALTT01","Consumer prices - all items","RUS","Russia","IXOB","Index","M","Monthly","2016-01","Jan-2016","IDX","Index","0","Units","2010_100","2010=100",158.4753,,
