TIME,GEO,GEO_LABEL,AGE,UNIT,SEX,Value
2013,BE33,Prov. Li�ge,Less than 5 years,Number,Total,44
2013,BE33,Prov. Li�ge,Less than 5 years,Number,Males,30
2013,BE33,Prov. Li�ge,Less than 5 years,Number,Females,14
2013,BE33,Prov. Li�ge,From 45 to 49 years,Number,Total,212
2013,BE33,Prov. Li�ge,From 45 to 49 years,Number,Males,138
2013,BE33,Prov. Li�ge,From 45 to 49 years,Number,Females,74
2013,BE33,Prov. Li�ge,From 50 to 54 years,Number,Total,333
2013,BE33,Prov. Li�ge,From 50 to 54 years,Number,Males,194
2013,BE33,Prov. Li�ge,From 50 to 54 years,Number,Females,139
2013,BE34,Prov. Luxembourg (BE),Total,Number,Total,2706
2013,BE34,Prov. Luxembourg (BE),Total,Number,Males,1372
2013,BE34,Prov. Luxembourg (BE),Total,Number,Females,1334
2013,BE34,Prov. Luxembourg (BE),Less than 5 years,Number,Total,17
2013,BE34,Prov. Luxembourg (BE),Less than 5 years,Number,Males,10
2013,BE34,Prov. Luxembourg (BE),Less than 5 years,Number,Females,7
2013,BE34,Prov. Luxembourg (BE),From 45 to 49 years,Number,Total,55
2013,BE34,Prov. Luxembourg (BE),From 45 to 49 years,Number,Males,32
2013,BE34,Prov. Luxembourg (BE),From 45 to 49 years,Number,Females,23
2013,BE34,Prov. Luxembourg (BE),From 50 to 54 years,Number,Total,114
2013,BE34,Prov. Luxembourg (BE),From 50 to 54 years,Number,Males,68
2013,BE34,Prov. Luxembourg (BE),From 50 to 54 years,Number,Females,46
2013,BE35,Prov. Namur,Total,Number,Total,5250
2013,BE35,Prov. Namur,Total,Number,Males,2535
2013,BE35,Prov. Namur,Total,Number,Females,2715
2013,BE35,Prov. Namur,Less than 5 years,Number,Total,25
2013,BE35,Prov. Namur,Less than 5 years,Number,Males,14
2013,BE35,Prov. Namur,Less than 5 years,Number,Females,11
2013,BE35,Prov. Namur,From 45 to 49 years,Number,Total,95
2013,BE35,Prov. Namur,From 45 to 49 years,Number,Males,60
2013,BE35,Prov. Namur,From 45 to 49 years,Number,Females,35
2013,BE35,Prov. Namur,From 50 to 54 years,Number,Total,166
2013,BE35,Prov. Namur,From 50 to 54 years,Number,Males,109
2013,BE35,Prov. Namur,From 50 to 54 years,Number,Females,57
2013,BG31,Severozapaden,Total,Number,Total,15046
2013,BG31,Severozapaden,Total,Number,Males,7945
2013,BG31,Severozapaden,Total,Number,Females,7101
2013,BG31,Severozapaden,Less than 5 years,Number,Total,80
2013,BG31,Severozapaden,Less than 5 years,Number,Males,45
2013,BG31,Severozapaden,Less than 5 years,Number,Females,35
2013,BG31,Severozapaden,From 45 to 49 years,Number,Total,265
2013,BG31,Severozapaden,From 45 to 49 years,Number,Males,193
2013,BG31,Severozapaden,From 45 to 49 years,Number,Females,72
2013,BG31,Severozapaden,From 50 to 54 years,Number,Total,432
2013,BG31,Severozapaden,From 50 to 54 years,Number,Males,302
2013,BG31,Severozapaden,From 50 to 54 years,Number,Females,130
2013,BG32,Severen tsentralen,Total,Number,Total,13482
2013,BG32,Severen tsentralen,Total,Number,Males,7071
2013,BG32,Severen tsentralen,Total,Number,Females,6411
2013,BG32,Severen tsentralen,Less than 5 years,Number,Total,63
2013,BG32,Severen tsentralen,Less than 5 years,Number,Males,37
2013,BG32,Severen tsentralen,Less than 5 years,Number,Females,26
2013,BG32,Severen tsentralen,From 45 to 49 years,Number,Total,254
2013,BG32,Severen tsentralen,From 45 to 49 years,Number,Males,174
2013,BG32,Severen tsentralen,From 45 to 49 years,Number,Females,80
2013,BG32,Severen tsentralen,From 50 to 54 years,Number,Total,438
2013,BG32,Severen tsentralen,From 50 to 54 years,Number,Males,318
2013,BG32,Severen tsentralen,From 50 to 54 years,Number,Females,120
2013,BG33,Severoiztochen,Total,Number,Total,12961
2013,BG33,Severoiztochen,Total,Number,Males,7012
2013,BG33,Severoiztochen,Total,Number,Females,5949
2013,BG33,Severoiztochen,Less than 5 years,Number,Total,76
2013,BG33,Severoiztochen,Less than 5 years,Number,Males,49
2013,BG33,Severoiztochen,Less than 5 years,Number,Females,27
2013,BG33,Severoiztochen,From 45 to 49 years,Number,Total,289
2013,BG33,Severoiztochen,From 45 to 49 years,Number,Males,211
2013,BG33,Severoiztochen,From 45 to 49 years,Number,Females,78
2013,BG33,Severoiztochen,From 50 to 54 years,Number,Total,435
2013,BG33,Severoiztochen,From 50 to 54 years,Number,Males,329
2013,BG33,Severoiztochen,From 50 to 54 years,Number,Females,106
2013,BG34,Yugoiztochen,Total,Number,Total,15277
2013,BG34,Yugoiztochen,Total,Number,Males,8072
2013,BG34,Yugoiztochen,Total,Number,Females,7205
2013,BG34,Yugoiztochen,Less than 5 years,Number,Total,120
2013,BG34,Yugoiztochen,Less than 5 years,Number,Males,67
2013,BG34,Yugoiztochen,Less than 5 years,Number,Females,53
2013,BG34,Yugoiztochen,From 45 to 49 years,Number,Total,312
2013,BG34,Yugoiztochen,From 45 to 49 years,Number,Males,227
2013,BG34,Yugoiztochen,From 45 to 49 years,Number,Females,85
2013,BG34,Yugoiztochen,From 50 to 54 years,Number,Total,514
2013,BG34,Yugoiztochen,From 50 to 54 years,Number,Males,354
2013,BG34,Yugoiztochen,From 50 to 54 years,Number,Females,160
