TIME,CURRENCY,UNIT,STATINFO,Value
1972Q3,Luxembourg franc,National currency (former currencies of the euro area countries),Average,49.1313
1972Q3,Latvian lats,National currency (former currencies of the euro area countries),Average,
1972Q3,Maltese lira ,National currency (former currencies of the euro area countries),Average,
1972Q3,Dutch guilder,National currency (former currencies of the euro area countries),Average,3.59018
1972Q3,Portuguese escudo,National currency (former currencies of the euro area countries),Average,
1972Q3,Slovenian tolar ,National currency (former currencies of the euro area countries),Average,
1972Q3,Slovak koruna,National currency (former currencies of the euro area countries),Average,
1972Q4,Austrian schilling,National currency (former currencies of the euro area countries),Average,
1972Q4,Belgian franc,National currency (former currencies of the euro area countries),Average,48.8062
1972Q4,Cyprus pound,National currency (former currencies of the euro area countries),Average,
1972Q4,German mark,National currency (former currencies of the euro area countries),Average,3.54398
1972Q4,Estonian Kroon ,National currency (former currencies of the euro area countries),Average,
1972Q4,Spanish peseta,National currency (former currencies of the euro area countries),Average,
1972Q4,Finnish markka,National currency (former currencies of the euro area countries),Average,
1972Q4,French franc,National currency (former currencies of the euro area countries),Average,5.58578
1972Q4,Greek drachma,National currency (former currencies of the euro area countries),Average,
1972Q4,Irish pound,National currency (former currencies of the euro area countries),Average,
1972Q4,Italian lira,National currency (former currencies of the euro area countries),Average,645.57
1972Q4,Lithuanian litas,National currency (former currencies of the euro area countries),Average,
1972Q4,Luxembourg franc,National currency (former currencies of the euro area countries),Average,48.8062
1972Q4,Latvian lats,National currency (former currencies of the euro area countries),Average,
1972Q4,Maltese lira ,National currency (former currencies of the euro area countries),Average,
1972Q4,Dutch guilder,National currency (former currencies of the euro area countries),Average,3.57633
1972Q4,Portuguese escudo,National currency (former currencies of the euro area countries),Average,
1972Q4,Slovenian tolar ,National currency (former currencies of the euro area countries),Average,
1972Q4,Slovak koruna,National currency (former currencies of the euro area countries),Average,
1973Q1,Austrian schilling,National currency (former currencies of the euro area countries),Average,
1973Q1,Belgian franc,National currency (former currencies of the euro area countries),Average,48.2837
1973Q1,Cyprus pound,National currency (former currencies of the euro area countries),Average,
1973Q1,German mark,National currency (former currencies of the euro area countries),Average,3.47516
1973Q1,Estonian Kroon ,National currency (former currencies of the euro area countries),Average,
1973Q1,Spanish peseta,National currency (former currencies of the euro area countries),Average,
1973Q1,Finnish markka,National currency (former currencies of the euro area countries),Average,
1973Q1,French franc,National currency (former currencies of the euro area countries),Average,5.53069
1973Q1,Greek drachma,National currency (former currencies of the euro area countries),Average,
1973Q1,Irish pound,National currency (former currencies of the euro area countries),Average,
1973Q1,Italian lira,National currency (former currencies of the euro area countries),Average,666.89
1973Q1,Lithuanian litas,National currency (former currencies of the euro area countries),Average,
1973Q1,Luxembourg franc,National currency (former currencies of the euro area countries),Average,48.2837
1973Q1,Latvian lats,National currency (former currencies of the euro area countries),Average,
1973Q1,Maltese lira ,National currency (former currencies of the euro area countries),Average,
1973Q1,Dutch guilder,National currency (former currencies of the euro area countries),Average,3.51611
1973Q1,Portuguese escudo,National currency (former currencies of the euro area countries),Average,
1973Q1,Slovenian tolar ,National currency (former currencies of the euro area countries),Average,
1973Q1,Slovak koruna,National currency (former currencies of the euro area countries),Average,
1973Q2,Austrian schilling,National currency (former currencies of the euro area countries),Average,
1973Q2,Belgian franc,National currency (former currencies of the euro area countries),Average,47.7117
1973Q2,Cyprus pound,National currency (former currencies of the euro area countries),Average,
1973Q2,German mark,National currency (former currencies of the euro area countries),Average,3.34638
1973Q2,Estonian Kroon ,National currency (former currencies of the euro area countries),Average,
1973Q2,Spanish peseta,National currency (former currencies of the euro area countries),Average,
1973Q2,Finnish markka,National currency (former currencies of the euro area countries),Average,
1973Q2,French franc,National currency (former currencies of the euro area countries),Average,5.41717
1973Q2,Greek drachma,National currency (former currencies of the euro area countries),Average,
1973Q2,Irish pound,National currency (former currencies of the euro area countries),Average,
1973Q2,Italian lira,National currency (former currencies of the euro area countries),Average,723.327
1973Q2,Lithuanian litas,National currency (former currencies of the euro area countries),Average,
1973Q2,Luxembourg franc,National currency (former currencies of the euro area countries),Average,47.7117
1973Q2,Latvian lats,National currency (former currencies of the euro area countries),Average,
1973Q2,Maltese lira ,National currency (former currencies of the euro area countries),Average,
1973Q2,Dutch guilder,National currency (former currencies of the euro area countries),Average,3.49572
1973Q2,Portuguese escudo,National currency (former currencies of the euro area countries),Average,
1973Q2,Slovenian tolar ,National currency (former currencies of the euro area countries),Average,
1973Q2,Slovak koruna,National currency (former currencies of the euro area countries),Average,
1973Q3,Austrian schilling,National currency (former currencies of the euro area countries),Average,
1973Q3,Belgian franc,National currency (former currencies of the euro area countries),Average,47.3836
1973Q3,Cyprus pound,National currency (former currencies of the euro area countries),Average,
1973Q3,German mark,National currency (former currencies of the euro area countries),Average,3.11622
1973Q3,Estonian Kroon ,National currency (former currencies of the euro area countries),Average,
1973Q3,Spanish peseta,National currency (former currencies of the euro area countries),Average,
1973Q3,Finnish markka,National currency (former currencies of the euro area countries),Average,
1973Q3,French franc,National currency (former currencies of the euro area countries),Average,5.45083
1973Q3,Greek drachma,National currency (former currencies of the euro area countries),Average,
1973Q3,Irish pound,National currency (former currencies of the euro area countries),Average,
1973Q3,Italian lira,National currency (former currencies of the euro area countries),Average,745.07
1973Q3,Lithuanian litas,National currency (former currencies of the euro area countries),Average,
1973Q3,Luxembourg franc,National currency (former currencies of the euro area countries),Average,47.3836
1973Q3,Latvian lats,National currency (former currencies of the euro area countries),Average,
1973Q3,Maltese lira ,National currency (former currencies of the euro area countries),Average,
1973Q3,Dutch guilder,National currency (former currencies of the euro area countries),Average,3.39714
1973Q3,Portuguese escudo,National currency (former currencies of the euro area countries),Average,
1973Q3,Slovenian tolar ,National currency (former currencies of the euro area countries),Average,
