GEO,TIME,UNIT,COICOP,Value
Euro area (18 countries),2000,Annual average rate of change,All-items HICP,2.2
Euro area (18 countries),2001,Annual average rate of change,All-items HICP,2.4
Euro area (18 countries),2002,Annual average rate of change,All-items HICP,2.3
Euro area (18 countries),2003,Annual average rate of change,All-items HICP,2.1
Euro area (18 countries),2004,Annual average rate of change,All-items HICP,2.2
Euro area (18 countries),2005,Annual average rate of change,All-items HICP,2.2
Euro area (18 countries),2006,Annual average rate of change,All-items HICP,2.2
Euro area (18 countries),2007,Annual average rate of change,All-items HICP,2.2
Euro area (18 countries),2008,Annual average rate of change,All-items HICP,3.3
Euro area (18 countries),2009,Annual average rate of change,All-items HICP,0.3
Euro area (18 countries),2010,Annual average rate of change,All-items HICP,1.6
Euro area (18 countries),2011,Annual average rate of change,All-items HICP,2.7
Euro area (18 countries),2012,Annual average rate of change,All-items HICP,2.5
Euro area (18 countries),2013,Annual average rate of change,All-items HICP,1.3
Euro area (18 countries),2014,Annual average rate of change,All-items HICP,0.4
Euro area (18 countries),2015,Annual average rate of change,All-items HICP,0
Euro area (18 countries),2016,Annual average rate of change,All-items HICP,0.2
Belgium,1996,Annual average rate of change,All-items HICP,1.8
Belgium,1997,Annual average rate of change,All-items HICP,1.5
Belgium,1998,Annual average rate of change,All-items HICP,0.9
Belgium,1999,Annual average rate of change,All-items HICP,1.1
Belgium,2000,Annual average rate of change,All-items HICP,2.7
Belgium,2001,Annual average rate of change,All-items HICP,2.4
Belgium,2002,Annual average rate of change,All-items HICP,1.5
Belgium,2003,Annual average rate of change,All-items HICP,1.5
Belgium,2004,Annual average rate of change,All-items HICP,1.9
Belgium,2005,Annual average rate of change,All-items HICP,2.5
Belgium,2006,Annual average rate of change,All-items HICP,2.3
Belgium,2007,Annual average rate of change,All-items HICP,1.8
Belgium,2008,Annual average rate of change,All-items HICP,4.5
Belgium,2009,Annual average rate of change,All-items HICP,0
Belgium,2010,Annual average rate of change,All-items HICP,2.3
Belgium,2011,Annual average rate of change,All-items HICP,3.4
Belgium,2012,Annual average rate of change,All-items HICP,2.6
Belgium,2013,Annual average rate of change,All-items HICP,1.2
Belgium,2014,Annual average rate of change,All-items HICP,0.5
Belgium,2015,Annual average rate of change,All-items HICP,0.6
Belgium,2016,Annual average rate of change,All-items HICP,1.8
Bulgaria,1996,Annual average rate of change,All-items HICP, 
Bulgaria,1997,Annual average rate of change,All-items HICP, 
Bulgaria,1998,Annual average rate of change,All-items HICP,18.7
Bulgaria,1999,Annual average rate of change,All-items HICP,2.6
Bulgaria,2000,Annual average rate of change,All-items HICP,10.3
Bulgaria,2001,Annual average rate of change,All-items HICP,7.4
Bulgaria,2002,Annual average rate of change,All-items HICP,5.8
Bulgaria,2003,Annual average rate of change,All-items HICP,2.3
Bulgaria,2004,Annual average rate of change,All-items HICP,6.1
Bulgaria,2005,Annual average rate of change,All-items HICP,6
Bulgaria,2006,Annual average rate of change,All-items HICP,7.4
Bulgaria,2007,Annual average rate of change,All-items HICP,7.6
Bulgaria,2008,Annual average rate of change,All-items HICP,12
Bulgaria,2009,Annual average rate of change,All-items HICP,2.5
Bulgaria,2010,Annual average rate of change,All-items HICP,3
Bulgaria,2011,Annual average rate of change,All-items HICP,3.4
Bulgaria,2012,Annual average rate of change,All-items HICP,2.4
Bulgaria,2013,Annual average rate of change,All-items HICP,0.4
Bulgaria,2014,Annual average rate of change,All-items HICP,-1.6
Bulgaria,2015,Annual average rate of change,All-items HICP,-1.1
Bulgaria,2016,Annual average rate of change,All-items HICP,-1.3
Czech Republic,1996,Annual average rate of change,All-items HICP,9.1
Czech Republic,1997,Annual average rate of change,All-items HICP,8
Czech Republic,1998,Annual average rate of change,All-items HICP,9.7
Czech Republic,1999,Annual average rate of change,All-items HICP,1.8
Czech Republic,2000,Annual average rate of change,All-items HICP,3.9
Czech Republic,2001,Annual average rate of change,All-items HICP,4.5
Czech Republic,2002,Annual average rate of change,All-items HICP,1.4
Czech Republic,2003,Annual average rate of change,All-items HICP,-0.1
Czech Republic,2004,Annual average rate of change,All-items HICP,2.6
