month,arabica,robusta
1984M11,140.25,135.4700012207
1984M12,140.6400146484,129.1300048828
1985M1,145.5799865723,127.8999862671
1985M2,143.7300109863,124.6700134277
1985M3,141.2699890137,124.0199890137
1985M4,140.6600036621,123.25
1985M5,141.9400024414,121.4100036621
1985M6,141.1600036621,120.5400085449
1985M7,134.3099975586,107.2900085449
1985M8,132.9299926758,106.8099975586
1985M9,133.0700073242,105.109992981
1985M10,140.4800109863,112.4800109863
1985M11,154.8500061035,128.0299987793
1985M12,196.7699890137,153.3999938965
1986M1,235.299987793,172.2200012207
1986M2,226.5199890137,163.3200073242
1986M3,237.6199951172,169.7900085449
1986M4,224.0700073242,157.5299987793
1986M5,208.7399902344,142.5599975586
1986M6,174.5400085449,125.7900085449
1986M7,170.6300048828,126.4200134277
1986M8,172.2300109863,135.1700134277
1986M9,198.3599853516,163.799987793
1986M10,175.9100036621,148.5799865723
1986M11,154.6300048828,148.6700134277
1986M12,134.3099975586,126.0199890137
1987M1,121.75,113.8099975586
1987M2,119.6000137329,110.450012207
1987M3,102.0400085449,98.2799987793
1987M4,106.299987793,101.1700134277
1987M5,116.3799972534,105.6900024414
1987M6,103.7200012207,98.2300109863
1987M7,98.5599975586,92.5
1987M8,100.8999862671,94.799987793
1987M9,110,99.4800109863
1987M10,118.2600097656,103.8299865723
1987M11,124.7699890137,105.7600097656
1987M12,125.2200012207,104.049987793
1988M1,126.3799972534,103.1900024414
1988M2,137.1400146484,104.0899963379
1988M3,134.7399902344,99.8200073242
1988M4,134.299987793,96.6000061035
1988M5,136.3900146484,94.9400024414
1988M6,141.8299865723,94.1499938965
1988M7,139.2399902344,85.3900146484
1988M8,128.8900146484,81.5799865723
1988M9,134.8299865723,89.9800109863
1988M10,130.4299926758,95.2399902344
1988M11,132.0899963379,94.1300048828
1988M12,144.950012207,102.1700134277
1989M1,149.5,102.8299865723
1989M2,137.5726318359,96.5505065918
1989M3,139.3800048828,95.6099853516
1989M4,143.0599975586,91.7300109863
1989M5,138.6499938965,92
1989M6,123.2099914551,84.549987793
1989M7,85.9100036621,65.7799987793
1989M8,77.3999938965,59.3499984741
1989M9,77.8399963379,60.6599998474
1989M10,67.7600097656,53.8300018311
1989M11,70.7200012207,53.2299995422
1989M12,72.549987793,52.1500015259
1990M1,75.8299865723,50.5200004578
1990M2,84.0100097656,51.2999992371
1990M3,93.9599914551,57.6800003052
1990M4,93.7300109863,57.3899993896
1990M5,92.0199890137,55.0299987793
1990M6,88.2600097656,52.3800010681
1990M7,86.4800109863,51.4700012207
1990M8,94.4200134277,55.0999984741
1990M9,94.9200134277,57.0900001526
1990M10,91.4100036621,58.0499992371
1990M11,84.8399963379,56.7900009155
1990M12,89.8900146484,57.0400009155
1991M1,86.3200073242,53.9199981689
1991M2,89.5700073242,52.4599990845
1991M3,93.7200012207,52.1300010681
1991M4,92.2699890137,52.3800010681
1991M5,87.5899963379,48.25
1991M6,85.5,47.0999984741
1991M7,82.8082580566,46.4390678406
1991M8,81.6188049316,46.6101989746
1991M9,87.4509887695,48.1064987183
1991M10,79.8618164063,47.4781799316
1991M11,78.517791748,51.6877784729
1991M12,75.0966796875,51.429523468
1992M1,72.990447998,49.4381828308
1992M2,67.8821105957,43.2173690796
1992M3,70.1433410645,43.0595245361
1992M4,65.4299926758,42.3504981995
1992M5,60.2569999695,38.7895011902
1992M6,58.375453949,38.0695457458
1992M7,57.6822738647,39.5995445251
1992M8,52.4247627258,39.9242858887
1992M9,52.7261886597,42.3880958557
1992M10,61.3954544067,45.4968185425
1992M11,67.1327819824,49.0722236633
1992M12,77.4645462036,52.0868186951
1993M1,68.658996582,48.1324996948
1993M2,67.4615783691,48.2510528564
1993M3,62.7691307068,46.8591308594
1993M4,56.8804779053,45.5071411133
1993M5,61.4760017395,46.9085006714
1993M6,61.9854545593,47.6486358643
1993M7,71.5566635132,50.3938102722
1993M8,76.557723999,59.2909088135
1993M9,79.8178253174,63.4243469238
1993M10,75.0514297485,60.0490493774
1993M11,77.0684967041,62.5320014954
1993M12,80.0042877197,62.9466667175
1994M1,77.209526062,60.9142875671
1994M2,82.1647338867,62.2505264282
1994M3,85.5691299438,66.4621734619
1994M4,89.2284240723,72.638420105
1994M5,121.9842834473,96.0476226807
1994M6,142.5604553223,113.3077163696
1994M7,217.6670074463,164.6499938965
1994M8,198.0730438232,162.6795654297
1994M9,220.1023864746,182.9528503418
1994M10,198.6757202148,170.0899963379
1994M11,181.6443634033,155.3099975586
1994M12,167.4733276367,130.477142334
1995M1,172.3336791992,132.7194671631
1995M2,168.7110595703,135.2178955078
1995M3,178.2169494629,146.831741333
1995M4,172.8073730469,145.4736785889
1995M5,168.8331756592,141.8863677979
1995M6,152.2459106445,129.5340881348
1995M7,143.8331604004,120.888420105
1995M8,151.4121704102,131.2826080322
1995M9,131.8699951172,116.4134979248
1995M10,125.3804626465,114.1536331177
1995M11,123.2310028076,112.7880020142
1995M12,103.9921035767,94.7236862183
1996M1,109.3799972534,91.9940032959
1996M2,123.7900009155,100.1764678955
1996M3,119.0461883545,91.9880981445
1996M4,122.0080871582,91.4523773193
1996M5,128.5595397949,92.1022720337
1996M6,127.9079971313,86.4625015259
1996M7,120.4719085693,78.1438064575
1996M8,122.4850006104,80.1590881348
1996M9,114.0459976196,75.0749969482
1996M10,120.6191329956,72.9730453491
1996M11,119.6105575562,70.5277786255
1996M12,115.0052566528,63.0789489746
1997M1,131.8300018311,67.6600036621
1997M2,167.1999969482,76.6500015259
1997M3,193.8164978027,81.3079986572
1997M4,204.4282073975,78.4840927124
1997M5,264.4956970215,95.7395172119
1997M6,212.5514068604,91.9352416992
1997M7,186.5195007324,82.5190887451
1997M8,185.171005249,76.9238128662
1997M9,184.3800048828,77.4347610474
1997M10,161.4465179443,76.9039154053
1997M11,154.1477813721,78.1955566406
1997M12,174.2542114258,84.6463165283
1998M1,175.0352630615,86.0278930664
1998M2,175.8736877441,85.7905273438
1998M3,154.8209075928,84.6718215942
1998M4,147.0828552246,90.5980987549
1998M5,134.346496582,92.6439971924
1998M6,121.5568161011,84.5459060669
1998M7,113.8600006104,78.4040908813
1998M8,119.8919067383,79.982383728
1998M9,108.0723800659,80.8761901855
1998M10,107.0677261353,80.3568191528
1998M11,115.1447372437,80.4000015259
1998M12,116.0317611694,82.8176498413
1999M1,111.4768447876,81.6494750977
1999M2,103.2415789474,77.7347368421
1999M3,103.2286956522,72.7
