TIME,CURRENCY,UNIT,STATINFO,Value
2016M12D19,Pound sterling,National currency,Average,0.8414
2016M12D20,Pound sterling,National currency,Average,0.83978
2016M12D21,Pound sterling,National currency,Average,0.8424
2016M12D22,Pound sterling,National currency,Average,0.84645
2016M12D23,Pound sterling,National currency,Average,0.85278
2016M12D26,Pound sterling,National currency,Average, 
2016M12D27,Pound sterling,National currency,Average,0.853
2016M12D28,Pound sterling,National currency,Average,0.85128
2016M12D29,Pound sterling,National currency,Average,0.853
2016M12D30,Pound sterling,National currency,Average,0.85618
