GEO,TIME,UNIT,S_ADJ,NA_ITEM,Value
Greece,1996Q4,"Chain linked volumes (2010), million euro",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Gross domestic product at market prices,43346.7
Greece,1996Q4,"Chain linked volumes (2010), million euro","Seasonally adjusted data, not calendar adjusted data",Gross domestic product at market prices, 
Greece,1996Q4,"Chain linked volumes (2010), million euro","Calendar adjusted data, not seasonally adjusted data",Gross domestic product at market prices, 
Greece,1996Q4,"Chain linked volumes (2010), million euro",Seasonally and calendar adjusted data,Gross domestic product at market prices,41454.1
Greece,1997Q1,"Chain linked volumes, index 2010=100",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Gross domestic product at market prices,68.6
Greece,1997Q1,"Chain linked volumes, index 2010=100","Seasonally adjusted data, not calendar adjusted data",Gross domestic product at market prices, 
Greece,1997Q1,"Chain linked volumes, index 2010=100","Calendar adjusted data, not seasonally adjusted data",Gross domestic product at market prices, 
Greece,1997Q1,"Chain linked volumes, index 2010=100",Seasonally and calendar adjusted data,Gross domestic product at market prices,73.8
Greece,1997Q1,"Current prices, million euro",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Gross domestic product at market prices,28304.2
Greece,1997Q1,"Current prices, million euro","Seasonally adjusted data, not calendar adjusted data",Gross domestic product at market prices, 
Greece,1997Q1,"Current prices, million euro","Calendar adjusted data, not seasonally adjusted data",Gross domestic product at market prices, 
Greece,1997Q1,"Current prices, million euro",Seasonally and calendar adjusted data,Gross domestic product at market prices,30618.4
Greece,1997Q1,"Chain linked volumes (2010), million euro",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Gross domestic product at market prices,38777.9
Greece,1997Q1,"Chain linked volumes (2010), million euro","Seasonally adjusted data, not calendar adjusted data",Gross domestic product at market prices, 
Greece,1997Q1,"Chain linked volumes (2010), million euro","Calendar adjusted data, not seasonally adjusted data",Gross domestic product at market prices, 
Greece,1997Q1,"Chain linked volumes (2010), million euro",Seasonally and calendar adjusted data,Gross domestic product at market prices,41697.7
Greece,1997Q2,"Chain linked volumes, index 2010=100",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Gross domestic product at market prices,72.4
Greece,1997Q2,"Chain linked volumes, index 2010=100","Seasonally adjusted data, not calendar adjusted data",Gross domestic product at market prices, 
Greece,1997Q2,"Chain linked volumes, index 2010=100","Calendar adjusted data, not seasonally adjusted data",Gross domestic product at market prices, 
Greece,1997Q2,"Chain linked volumes, index 2010=100",Seasonally and calendar adjusted data,Gross domestic product at market prices,75.1
Greece,1997Q2,"Current prices, million euro",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Gross domestic product at market prices,29935.1
Greece,1997Q2,"Current prices, million euro","Seasonally adjusted data, not calendar adjusted data",Gross domestic product at market prices, 
Greece,1997Q2,"Current prices, million euro","Calendar adjusted data, not seasonally adjusted data",Gross domestic product at market prices, 
Greece,1997Q2,"Current prices, million euro",Seasonally and calendar adjusted data,Gross domestic product at market prices,30952.9
Greece,1997Q2,"Chain linked volumes (2010), million euro",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Gross domestic product at market prices,40910.1
Greece,1997Q2,"Chain linked volumes (2010), million euro","Seasonally adjusted data, not calendar adjusted data",Gross domestic product at market prices, 
Greece,1997Q2,"Chain linked volumes (2010), million euro","Calendar adjusted data, not seasonally adjusted data",Gross domestic product at market prices, 
Greece,1997Q2,"Chain linked volumes (2010), million euro",Seasonally and calendar adjusted data,Gross domestic product at market prices,42407.7
Greece,1997Q3,"Chain linked volumes, index 2010=100",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Gross domestic product at market prices,80.6
Greece,1997Q3,"Chain linked volumes, index 2010=100","Seasonally adjusted data, not calendar adjusted data",Gross domestic product at market prices, 
Greece,1997Q3,"Chain linked volumes, index 2010=100","Calendar adjusted data, not seasonally adjusted data",Gross domestic product at market prices, 
Greece,1997Q3,"Chain linked volumes, index 2010=100",Seasonally and calendar adjusted data,Gross domestic product at market prices,76.3
Greece,1997Q3,"Current prices, million euro",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Gross domestic product at market prices,33287.7
Greece,1997Q3,"Current prices, million euro","Seasonally adjusted data, not calendar adjusted data",Gross domestic product at market prices, 
Greece,1997Q3,"Current prices, million euro","Calendar adjusted data, not seasonally adjusted data",Gross domestic product at market prices, 
Greece,1997Q3,"Current prices, million euro",Seasonally and calendar adjusted data,Gross domestic product at market prices,31859.2
Greece,1997Q3,"Chain linked volumes (2010), million euro",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Gross domestic product at market prices,45542.1
Greece,1997Q3,"Chain linked volumes (2010), million euro","Seasonally adjusted data, not calendar adjusted data",Gross domestic product at market prices, 
Greece,1997Q3,"Chain linked volumes (2010), million euro","Calendar adjusted data, not seasonally adjusted data",Gross domestic product at market prices, 
Greece,1997Q3,"Chain linked volumes (2010), million euro",Seasonally and calendar adjusted data,Gross domestic product at market prices,43082.2
Greece,1997Q4,"Chain linked volumes, index 2010=100",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Gross domestic product at market prices,80.4
Greece,1997Q4,"Chain linked volumes, index 2010=100","Seasonally adjusted data, not calendar adjusted data",Gross domestic product at market prices, 
Greece,1997Q4,"Chain linked volumes, index 2010=100","Calendar adjusted data, not seasonally adjusted data",Gross domestic product at market prices, 
Greece,1997Q4,"Chain linked volumes, index 2010=100",Seasonally and calendar adjusted data,Gross domestic product at market prices,77
Greece,1997Q4,"Current prices, million euro",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Gross domestic product at market prices,34800
Greece,1997Q4,"Current prices, million euro","Seasonally adjusted data, not calendar adjusted data",Gross domestic product at market prices, 
Greece,1997Q4,"Current prices, million euro","Calendar adjusted data, not seasonally adjusted data",Gross domestic product at market prices, 
Greece,1997Q4,"Current prices, million euro",Seasonally and calendar adjusted data,Gross domestic product at market prices,32693.9
Greece,1997Q4,"Chain linked volumes (2010), million euro",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Gross domestic product at market prices,45414.4
Greece,1997Q4,"Chain linked volumes (2010), million euro","Seasonally adjusted data, not calendar adjusted data",Gross domestic product at market prices, 
Greece,1997Q4,"Chain linked volumes (2010), million euro","Calendar adjusted data, not seasonally adjusted data",Gross domestic product at market prices, 
Greece,1997Q4,"Chain linked volumes (2010), million euro",Seasonally and calendar adjusted data,Gross domestic product at market prices,43493.4
Greece,1998Q1,"Chain linked volumes, index 2010=100",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Gross domestic product at market prices,72.8
Greece,1998Q1,"Chain linked volumes, index 2010=100","Seasonally adjusted data, not calendar adjusted data",Gross domestic product at market prices, 
Greece,1998Q1,"Chain linked volumes, index 2010=100","Calendar adjusted data, not seasonally adjusted data",Gross domestic product at market prices, 
Greece,1998Q1,"Chain linked volumes, index 2010=100",Seasonally and calendar adjusted data,Gross domestic product at market prices,77.9
Greece,1998Q1,"Current prices, million euro",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Gross domestic product at market prices,29891.5
Greece,1998Q1,"Current prices, million euro","Seasonally adjusted data, not calendar adjusted data",Gross domestic product at market prices, 
Greece,1998Q1,"Current prices, million euro","Calendar adjusted data, not seasonally adjusted data",Gross domestic product at market prices, 
Greece,1998Q1,"Current prices, million euro",Seasonally and calendar adjusted data,Gross domestic product at market prices,32352.7
Greece,1998Q1,"Chain linked volumes (2010), million euro",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Gross domestic product at market prices,41148.9
Greece,1998Q1,"Chain linked volumes (2010), million euro","Seasonally adjusted data, not calendar adjusted data",Gross domestic product at market prices, 
Greece,1998Q1,"Chain linked volumes (2010), million euro","Calendar adjusted data, not seasonally adjusted data",Gross domestic product at market prices, 
Greece,1998Q1,"Chain linked volumes (2010), million euro",Seasonally and calendar adjusted data,Gross domestic product at market prices,44017.1
Greece,1998Q2,"Chain linked volumes, index 2010=100",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Gross domestic product at market prices,75.6
Greece,1998Q2,"Chain linked volumes, index 2010=100","Seasonally adjusted data, not calendar adjusted data",Gross domestic product at market prices, 
Greece,1998Q2,"Chain linked volumes, index 2010=100","Calendar adjusted data, not seasonally adjusted data",Gross domestic product at market prices, 
Greece,1998Q2,"Chain linked volumes, index 2010=100",Seasonally and calendar adjusted data,Gross domestic product at market prices,78.2
Greece,1998Q2,"Current prices, million euro",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Gross domestic product at market prices,30027
Greece,1998Q2,"Current prices, million euro","Seasonally adjusted data, not calendar adjusted data",Gross domestic product at market prices, 
Greece,1998Q2,"Current prices, million euro","Calendar adjusted data, not seasonally adjusted data",Gross domestic product at market prices, 
Greece,1998Q2,"Current prices, million euro",Seasonally and calendar adjusted data,Gross domestic product at market prices,31036.4
Greece,1998Q2,"Chain linked volumes (2010), million euro",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Gross domestic product at market prices,42721.8
Greece,1998Q2,"Chain linked volumes (2010), million euro","Seasonally adjusted data, not calendar adjusted data",Gross domestic product at market prices, 
Greece,1998Q2,"Chain linked volumes (2010), million euro","Calendar adjusted data, not seasonally adjusted data",Gross domestic product at market prices, 
Greece,1998Q2,"Chain linked volumes (2010), million euro",Seasonally and calendar adjusted data,Gross domestic product at market prices,44211.1
Greece,1998Q3,"Chain linked volumes, index 2010=100",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Gross domestic product at market prices,82.8
Greece,1998Q3,"Chain linked volumes, index 2010=100","Seasonally adjusted data, not calendar adjusted data",Gross domestic product at market prices, 
Greece,1998Q3,"Chain linked volumes, index 2010=100","Calendar adjusted data, not seasonally adjusted data",Gross domestic product at market prices, 
Greece,1998Q3,"Chain linked volumes, index 2010=100",Seasonally and calendar adjusted data,Gross domestic product at market prices,78.5
Greece,1998Q3,"Current prices, million euro",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Gross domestic product at market prices,33755.1
Greece,1998Q3,"Current prices, million euro","Seasonally adjusted data, not calendar adjusted data",Gross domestic product at market prices, 
Greece,1998Q3,"Current prices, million euro","Calendar adjusted data, not seasonally adjusted data",Gross domestic product at market prices, 
Greece,1998Q3,"Current prices, million euro",Seasonally and calendar adjusted data,Gross domestic product at market prices,32357.1
Greece,1998Q3,"Chain linked volumes (2010), million euro",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Gross domestic product at market prices,46766.2
Greece,1998Q3,"Chain linked volumes (2010), million euro","Seasonally adjusted data, not calendar adjusted data",Gross domestic product at market prices, 
Greece,1998Q3,"Chain linked volumes (2010), million euro","Calendar adjusted data, not seasonally adjusted data",Gross domestic product at market prices, 
Greece,1998Q3,"Chain linked volumes (2010), million euro",Seasonally and calendar adjusted data,Gross domestic product at market prices,44361
Greece,1998Q4,"Chain linked volumes, index 2010=100",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Gross domestic product at market prices,82.6
Greece,1998Q4,"Chain linked volumes, index 2010=100","Seasonally adjusted data, not calendar adjusted data",Gross domestic product at market prices, 
Greece,1998Q4,"Chain linked volumes, index 2010=100","Calendar adjusted data, not seasonally adjusted data",Gross domestic product at market prices, 
Greece,1998Q4,"Chain linked volumes, index 2010=100",Seasonally and calendar adjusted data,Gross domestic product at market prices,79.1
Greece,1998Q4,"Current prices, million euro",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Gross domestic product at market prices,35315
Greece,1998Q4,"Current prices, million euro","Seasonally adjusted data, not calendar adjusted data",Gross domestic product at market prices, 
Greece,1998Q4,"Current prices, million euro","Calendar adjusted data, not seasonally adjusted data",Gross domestic product at market prices, 
Greece,1998Q4,"Current prices, million euro",Seasonally and calendar adjusted data,Gross domestic product at market prices,33109.1
Greece,1998Q4,"Chain linked volumes (2010), million euro",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Gross domestic product at market prices,46654.1
Greece,1998Q4,"Chain linked volumes (2010), million euro","Seasonally adjusted data, not calendar adjusted data",Gross domestic product at market prices, 
Greece,1998Q4,"Chain linked volumes (2010), million euro","Calendar adjusted data, not seasonally adjusted data",Gross domestic product at market prices, 
Greece,1998Q4,"Chain linked volumes (2010), million euro",Seasonally and calendar adjusted data,Gross domestic product at market prices,44709
Greece,1999Q1,"Chain linked volumes, index 2010=100",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Gross domestic product at market prices,74.8
Greece,1999Q1,"Chain linked volumes, index 2010=100","Seasonally adjusted data, not calendar adjusted data",Gross domestic product at market prices, 
Greece,1999Q1,"Chain linked volumes, index 2010=100","Calendar adjusted data, not seasonally adjusted data",Gross domestic product at market prices, 
