year,gdp,export_volume,import_volume
1406,2343.5126060264,32.7082398343,
1407,2344.9543545898,27.6295711342,
1408,2168.0202594885,28.5596520173,
1409,2242.084146233,35.0085291614,
1410,2380.8166689556,31.0722939951,
1411,2330.170333698,24.6542613701,
1412,2274.8391102553,23.4869149555,
1413,2061.048035986,33.570700041,
1414,2340.7126185408,26.612888332,
1415,2393.3994245015,31.0734803228,
1416,2306.6343304011,27.6782105681,
1417,2520.0845476213,28.9677487314,
1418,2389.8606957306,31.2134669863,
1419,2515.5026856049,30.6119988642,
1420,2452.6283804721,26.6188199703,
1421,2289.0029907122,27.0150534078,
1422,2362.7000843125,29.270262284,
1423,2492.0066271913,42.8204967835,
1424,2510.2970585072,37.331358714,
1425,2422.3802827745,36.5127926306,
1426,2347.905818756,33.0605791484,
1427,2285.2930793934,35.9457280105,
1428,2144.295311097,36.6160031368,
1429,2216.904462546,34.2836829629,
1430,2279.9180679215,27.3163806327,
1431,2289.3529819999,32.41165792,
1432,2258.9087976799,28.4683047877,
1433,2323.9605429915,27.4255227771,
1434,2460.7383925081,21.0027448415,
1435,2184.4763766193,32.4306391625,
1436,2033.445780158,15.641730159,
1437,1949.7174692608,19.6562629507,
1438,2045.0879759499,26.8252409826,
1439,2134.1033124068,24.9235577483,
1440,2152.3124519672,47.6239374672,
1441,1901.1688203873,33.7106867045,
1442,1966.5317960144,28.3650942816,
1443,2377.1229735841,41.5653621223,
1444,2371.8739960982,38.7668151792,
1445,2044.2618552878,28.3378087455,
1446,2172.3161835807,40.9318631534,
1447,2222.7821634311,26.3602005411,
1448,2295.0011024855,28.1634185799,
1449,2103.7690062539,17.8577902225,
1450,2166.8111131023,33.5090110028,
1451,2176.7192930791,26.1015811118,
1452,2154.2358514021,25.0564264459,
1453,2177.8704544739,27.4456903473,
1454,2184.4956265347,19.4059478151,
1455,2172.7473032865,27.775489436,
1456,2201.6094749999,27.8751409592,
1457,2018.6218265642,18.1923346218,
1458,2142.0633368956,29.0958721184,
1459,2113.6766435545,25.7539871083,
1460,2118.6526860726,13.9666355072,
1461,2131.81869446,23.9721229673,
1462,2336.1734901528,20.9944405479,
1463,2369.9386115543,17.6525555378,
1464,2166.4865847812,25.1845498329,
1465,2107.8232297542,15.5088614614,
1466,2096.3077630774,24.2758228475,
1467,2165.4489480905,30.0188350356,
1468,2264.7341204381,28.2025673926,
1469,2239.0353347277,30.2228833926,
1470,2180.0838621659,23.7407890742,
1471,2088.3205739738,13.95002692,
1472,2162.3284080441,29.4138079305,
1473,2149.0987843943,24.1417678223,
1474,2267.7262959546,30.8385874467,
1475,2205.0307856247,24.1476994605,
1476,2049.0796168848,31.3973477732,
1477,2147.6873439125,23.7146898657,
1478,2212.3926781672,27.3365482029,
1479,2343.0752104651,41.9900674235,
1480,2414.8698552778,35.061913906,
1481,2311.7845521302,41.5250269819,
1482,2214.7962777661,39.9792420447,
1483,2326.6468609079,20.8829257482,
1484,2308.411210784,30.0496795547,
1485,2185.7375967921,27.5453418705,
1486,2426.3470687362,35.9564049594,
1487,2221.6781280808,25.8619429251,
1488,2271.8519130409,32.6679046939,
1489,2326.9689281157,34.9931069019,
1490,2345.3442408066,37.9660440106,
1491,2368.6436107289,28.7352285106,
1492,2400.9541910193,28.8253894125,
1493,2365.8088920504,32.3772544179,
1494,2481.518296169,35.5127184157,
