year,gdp.cap,inflation,unemployment,consumption.real,investments.real
1881,3917,-1.2381646031,4.9397784189,87914.668847286,6018.1425506111
1882,3951,0.1474926254,4.3299952367,89487.3820645899,5966.2620113817
1883,4040,0,4.2435669678,92475.5371774672,6173.7841682993
1884,3973,-3.4418604651,5.4665264758,92790.079820928,6070.0230898405
1885,3912,-3.4682080925,6.9532071779,93655.0720904451,5654.9787760052
1886,3904,-0.8982035928,6.8621398558,94205.5217165015,5188.0539229406
1887,4030,-2.0140986908,6.1580980387,97744.1264554352,5343.6955406288
1888,4123,-0.2055498458,5.0231353355,99080.9326901434,5551.2176975464
1889,4222,0.8238928939,3.7176493706,101125.459872638,5914.3814721523
1890,4225,0.4085801839,3.4575322694,103012.715733403,6018.1425506111
1891,4287,0.8138351984,4.2384288783,107337.677080989,6329.4257859875
1892,4166,0.4036326942,5.2854469328,106865.863115798,6485.0674036757
1893,4101,-1.9095477387,6.3323094663,107337.677080989,6588.8284821345
1894,4250,-2.6639344262,6.0709259634,111662.638428574,6848.2311782816
1895,4350,-1.3684210526,6.3310659442,114414.886558856,7159.514413658
1896,4492,-0.2134471718,5.2803060525,119133.026210768,7782.0808844109
1897,4499,2.0320855615,5.1069122256,119840.747158554,8664.0500513108
1898,4655,1.7819706499,4.234455069,124873.429453927,10012.9440712753
1899,4774,-1.0298661174,3.7097641745,129041.119479782,10583.6300027988
1900,4715,4.0582726327,3.6798647995,128726.576836321,10635.5105420282
1901,4770,-0.3,4.8773508123,131242.917984008,11206.1964735516
1902,4800,0,5.1456942441,131950.638931794,11776.8824050751
1903,4716,1.1033099298,5.6035069773,132501.088557851,11673.1213266163
1904,4729,-0.3968253968,6.9148214719,134388.344418615,11569.3602481575
1905,4826,0.3984063745,6.4831983126,135174.701027267,11413.7186304693
1906,4904,-0.0992063492,5.1803690591,137533.770853223,10739.271620487
1907,4954,1.588877855,4.4013557921,139342.391053122,9597.8997574401
1908,4728,1.2707722385,7.105737041,138870.577087931,8093.3641197873
1909,4797,0.1930501931,7.5412862016,139499.662374853,8664.0500513108
1910,4880,2.119460501,5.7939063755,141780.096539943,8767.8111297696
1911,5001,0.2830188679,4.7474208386,146026.422226664,8923.4527474578
1912,5058,2.822201317,3.9667103131,146970.050157046,8923.4527474578
1913,5240,0.6404391583,3.6205724491,152317.275095879,9805.4219143577
1914,5298,2.5454545455,3.156384505,153004.937737396,9805.4219143577
1915,5554,12.5,0.9483167378,156314.314199693,7723.6554156171
1916,5595,18.1,0.3291020216,143334.681841072,6064.2763224181
1917,5547,25.2,0.4662004662,132117.185001336,6486.6637279597
1918,5657,22,0.6472491909,130870.796463587,7874.5080604534
1919,5219,10.1,3.0247479377,149781.519105288,10318.320906801
1920,4882,15.4,1.9545454545,150125.350426046,11977.7
1921,4372,-8.6,11.0237822887,137779.364713846,13706.875
1922,4573,-14,9.6757148598,143929.409641113,12652.5
1923,4685,-6,7.9875184521,148335.411977065,12989.9
1924,4871,-0.7,7.1174076229,153246.268747345,15140.825
1925,5026,0.3,7.7598298264,155908.228491983,17249.575
1926,4851,-0.8,8.666889674,156780.249787641,16743.475
1927,5206,-2.4,6.7136129314,163572.836722234,18683.525
1928,5231,-0.3,7.4268271714,165638.150317212,18472.65
1929,5369,-0.9,7.1835009966,169447.506503504,19442.675
1930,5304,-2.8,11.0981272407,171558.715956148,19527.025
1931,5035,-4.3,14.8762054575,174082.988127787,19147.45
1932,5010,-2.6,15.38729839,173073.279259131,16701.3
1933,5149,-2.1,13.9273721374,179590.491047728,17291.75
