"C","Emp","I","pi","R","W","Y"
-0.732992399767666,-1.14120499432499,-1.29076308035234,-0.45464804203922,-0.0611476907087118,-0.896687524645897,-0.602274379695983
-0.866371109185123,-1.23834908750689,-0.324994513229615,-0.396989610910097,-0.0139776895795884,-0.72683300168731,-0.45163863366298
-1.44406981860287,-1.10477518068898,0.653357053893285,-0.235300499780973,0.113171811549535,-1.07379027872869,-0.512909887630086
-1.01791852802033,-0.971603273870979,0.394224621015963,-0.0352067896518495,0.177364812678659,-1.28438255577012,-0.874109141597102
-1.27288623743787,-0.928691367052916,0.353386188138654,-0.217143268522726,0.0782163138077825,-1.43376183281151,-1.07843039556411
-1.95386494685543,-1.00570946023492,-0.153229244738316,-0.375426546393602,0.0435535649369062,-1.69946660985292,-1.40911564953132
-1.44265665627311,-1.08272755341693,-1.79356767761566,-0.432222471264479,-0.15963293393397,-1.7084861868943,-1.36271690349832
-2.0371123656905,-1.01995664659887,0.490923889507155,-0.457220546135355,-0.269133932804847,-2.28890746393571,-1.57313515746529
-1.97637207510796,-1.00719273978086,0.363368456630167,-0.490337652006231,-0.289549681675723,-2.10176984097711,-1.60369841143216
-2.5653657845255,-1.17397083296293,0.428954023752692,-0.451777282877108,-0.379064930546599,-2.42729311801852,-1.88142966539937
-2.85703249394304,-1.28092792614495,-0.970853409124277,-0.643480156747984,-0.402016679417476,-2.46094259505992,-2.14821691936646
-2.58422320336056,-1.10862601932683,0.194192157998384,-0.630355509618861,-0.416571428288352,-2.14066777210132,-1.35970217333334
-3.04268391277809,-0.986589112508792,0.610295725121102,-0.414834325489737,-0.403727427159228,-2.38472834914273,-1.18552442730044
-2.83121462219581,-0.894682205690852,1.44261529224413,-0.289217922360613,-0.363607426030105,-3.16889632618415,-1.11220468126754
-2.33198033161305,-0.587547298872888,2.72250285936674,-0.43183933123149,-0.407498424900981,-4.55809950322555,-0.842351935234602
-2.27680104103091,-0.232861392054811,1.75249342648966,-0.601026912102366,-0.431126923771858,-4.10274468026696,-0.97470718920141
-2.18163575044831,0.14928651476328,3.27796099361252,-0.414841795973243,-0.447001672642734,-4.24360615730836,-1.13853744316867
